trap_id,org_id,device_id,device_ip,collector_id,trap_type,severity,description,timestamp,additional_info
trap-dev-1-1,org-123,dev-1,101.98.5.12,coll-1,linkDown,Low,Interface went down unexpectedly.,2023-11-01 06:00:00,SNMP trap received
trap-dev-1-2,org-123,dev-1,101.98.5.12,coll-1,linkUp,Medium,Interface is back up.,2023-11-01 06:00:30,SNMP trap received
trap-dev-1-3,org-123,dev-1,101.98.5.12,coll-1,coldStart,High,Device rebooted due to cold start.,2023-11-01 06:01:00,SNMP trap received
trap-dev-1-4,org-123,dev-1,101.98.5.12,coll-1,warmStart,Critical,Device rebooted due to warm start.,2023-11-01 06:01:30,SNMP trap received
trap-dev-1-5,org-123,dev-1,101.98.5.12,coll-1,authenticationFailure,Low,Authentication failure detected.,2023-11-01 06:02:00,SNMP trap received
trap-dev-2-1,org-123,dev-2,103.12.72.49,coll-1,linkDown,Low,Interface went down unexpectedly.,2023-11-01 06:01:00,SNMP trap received
trap-dev-2-2,org-123,dev-2,103.12.72.49,coll-1,linkUp,Medium,Interface is back up.,2023-11-01 06:01:30,SNMP trap received
trap-dev-2-3,org-123,dev-2,103.12.72.49,coll-1,coldStart,High,Device rebooted due to cold start.,2023-11-01 06:02:00,SNMP trap received
trap-dev-2-4,org-123,dev-2,103.12.72.49,coll-1,warmStart,Critical,Device rebooted due to warm start.,2023-11-01 06:02:30,SNMP trap received
trap-dev-2-5,org-123,dev-2,103.12.72.49,coll-1,authenticationFailure,Low,Authentication failure detected.,2023-11-01 06:03:00,SNMP trap received
trap-dev-3-1,org-123,dev-3,103.16.102.20,coll-1,linkDown,Low,Interface went down unexpectedly.,2023-11-01 06:02:00,SNMP trap received
trap-dev-3-2,org-123,dev-3,103.16.102.20,coll-1,linkUp,Medium,Interface is back up.,2023-11-01 06:02:30,SNMP trap received
trap-dev-3-3,org-123,dev-3,103.16.102.20,coll-1,coldStart,High,Device rebooted due to cold start.,2023-11-01 06:03:00,SNMP trap received
trap-dev-3-4,org-123,dev-3,103.16.102.20,coll-1,warmStart,Critical,Device rebooted due to warm start.,2023-11-01 06:03:30,SNMP trap received
